layout_id,src_id,dst_id,edge_type,contact_axis,gap_m,shared_span_m,physical_floor
BB_03,16,17,bbox_spatial_adjacency,x,0.2,5.0143,1
BB_03,16,19,bbox_spatial_adjacency,x,0.2,12.0,1
BB_03,16,24,bbox_spatial_adjacency,x,0.2,6.7857,1
BB_03,16,124,bbox_spatial_adjacency,y,0.2,0.9833,1
BB_03,17,24,bbox_spatial_adjacency,y,0.2,1.7722,1
BB_03,17,124,bbox_spatial_adjacency,y,0.2,1.7722,1
BB_03,18,22,bbox_spatial_adjacency,x,0.2,7.45,0
BB_03,18,23,bbox_spatial_adjacency,x,0.2,4.35,0
BB_03,18,27,bbox_spatial_adjacency,x,0.2,7.45,0
BB_03,18,121,bbox_spatial_adjacency,y,0.2,1.0909,0
BB_03,19,123,bbox_spatial_adjacency,x,0.1,12.0,1
BB_03,19,124,bbox_spatial_adjacency,y,0.2,3.7444,1
BB_03,19,139,bbox_spatial_adjacency,y,0.2,2.6,1
BB_03,20,21,bbox_spatial_adjacency,x,0.2,4.35,2
BB_03,20,25,bbox_spatial_adjacency,x,0.2,7.45,2
BB_03,20,26,bbox_spatial_adjacency,x,0.2,2.18,2
BB_03,20,28,bbox_spatial_adjacency,x,0.2,4.76,2
BB_03,20,29,bbox_spatial_adjacency,x,0.2,4.66,2
BB_03,20,127,bbox_spatial_adjacency,y,0.2,1.0909,2
BB_03,21,25,bbox_spatial_adjacency,y,0.2,2.3818,2
BB_03,21,127,bbox_spatial_adjacency,y,0.2,2.3818,2
BB_03,23,27,bbox_spatial_adjacency,y,0.2,3.0273,0
BB_03,23,120,bbox_spatial_adjacency,x,0.1,4.35,0
BB_03,23,121,bbox_spatial_adjacency,y,0.2,3.0273,0
BB_03,26,28,bbox_spatial_adjacency,y,0.2,3.0273,2
BB_03,26,126,bbox_spatial_adjacency,x,0.1,2.18,2
BB_03,26,127,bbox_spatial_adjacency,y,0.2,3.0273,2
BB_03,27,120,bbox_spatial_adjacency,x,0.1,7.45,0
