layout_id,node_id,node_role,space_type,floor_id,physical_floor,component_id,community_id,degree,degree_cent,betweenness,closeness,clustering
BB_01,141,room,Bath,3,1,1,1,4,0.022989,0.003384,0.112449,0.666667
BB_01,142,room,Bedroom1,1,0,0,0,3,0.017241,0.001025,0.104067,0.333333
BB_01,143,room,Bedroom,3,1,1,1,3,0.017241,0.00016,0.102671,0.666667
BB_01,144,room,Hall,1,0,0,0,6,0.034483,0.039026,0.113577,0.333333
BB_01,145,room,Hall,3,1,1,1,5,0.028736,0.015468,0.112747,0.4
BB_01,146,room,Kitchen,1,0,0,0,3,0.017241,0.010781,0.112403,0.666667
BB_01,147,room,Kitchen,3,1,1,1,3,0.017241,0.011149,0.112152,0.666667
BB_01,148,room,Bedroom2,1,0,0,0,3,0.017241,0.000134,0.093148,0.666667
BB_01,149,room,Living,3,1,1,1,2,0.011494,0.0,0.092203,1.0
BB_01,150,room,Living,1,0,0,0,2,0.011494,0.0,0.092949,1.0
BB_01,151,room,Bath,1,0,0,0,5,0.028736,0.016183,0.112987,0.5
BB_01,152,room,Bath,3,1,1,1,4,0.022989,0.01099,0.113047,0.5
BB_01,153,room,Hall,1,0,0,0,4,0.022989,0.011133,0.112694,0.5
BB_01,154,room,Bedroom1,3,1,1,1,3,0.017241,0.001049,0.093832,0.333333
BB_01,155,room,Hall,3,1,1,1,6,0.034483,0.045645,0.113652,0.333333
BB_01,156,room,Kitchen,1,0,0,0,4,0.022989,0.000722,0.09375,0.5
BB_01,157,room,Living,1,0,0,0,2,0.011494,0.0,0.111538,1.0
BB_01,158,room,Kitchen,3,1,1,1,3,0.017241,0.010898,0.112449,0.666667
BB_01,159,room,Bedroom2,3,1,1,1,3,0.017241,0.000137,0.09301,0.666667
BB_01,160,room,Living,3,1,1,1,2,0.011494,0.0,0.092807,1.0
BB_01,161,corridor,Corridor,0,0,0,2,11,0.063218,0.361882,0.17126,0.181818
BB_01,162,corridor,Corridor,1,1,1,4,12,0.068966,0.442097,0.169346,0.166667
BB_01,163,corridor,Corridor,0,0,0,2,13,0.074713,0.276516,0.143092,0.153846
BB_01,164,corridor,Corridor,0,0,0,5,13,0.074713,0.250108,0.142157,0.153846
BB_01,165,corridor,Corridor,1,1,1,4,13,0.074713,0.242986,0.139822,0.153846
BB_01,166,corridor,Corridor,1,1,1,7,13,0.074713,0.233616,0.139822,0.153846
BB_01,167,corridor,Corridor,0,0,0,0,10,0.057471,0.350039,0.169922,0.2
BB_01,168,corridor,Corridor,1,1,1,3,11,0.063218,0.453077,0.172088,0.181818
BB_01,169,corridor,Corridor,0,0,0,6,13,0.074713,0.264728,0.141234,0.153846
BB_01,170,corridor,Corridor,0,0,0,0,13,0.074713,0.250308,0.142157,0.153846
BB_01,171,corridor,Corridor,1,1,1,3,13,0.074713,0.283443,0.1436,0.153846
BB_01,172,corridor,Corridor,1,1,1,1,13,0.074713,0.262394,0.142637,0.153846
BB_01,173,core,Core,0,0,0,0,8,0.045977,0.517655,0.178279,0.214286
BB_01,174,core,Core,1,1,1,1,8,0.045977,0.51138,0.177107,0.214286
